,Player,Team,Season,TSPERCENT,EFGPERCENT,TOTALS%,ORBPERCENT,DRBPERCENT,TRBPERCENT,ASTPERCENT,TOVPERCENT,STLPERCENT,BLKPERCENT,USGPERCENT,PPR,PPS,ORTG,DRTG,EDIFF,FIC,PER,cluster
6091,Juslin Bodo,HP,2024,0.621,.677,107.5,22.0,27.8,24.9,1.4,15.6,1.0,7.9,13.7,-3.8,1.6,128.6,98.3,30.3,400.9,22.6,cluster_8
6092,Jared McCain,DUKE,2024,0.611,.577,176.1,3.3,16.3,10.0,11.0,10.1,2.0,0.2,21.2,-0.2,1.4,123.4,99.7,23.7,372.1,20.2,cluster_8
6093,Owen Freeman,IOWA,2024,0.629,.614,127.5,12.8,21.7,17.4,9.4,11.9,2.3,7.9,20.5,-1.4,1.5,125.0,102.0,23.0,382.1,26.0,cluster_8
6094,P.J. Haggerty,TULSA,2024,0.596,.520,154.9,3.9,15.3,9.8,26.5,12.7,3.2,0.1,30.3,-0.1,1.6,119.1,100.5,18.6,446.4,27.3,cluster_8
6095,Xzayvier Brown,STJOE,2024,0.598,.566,165.9,1.7,14.1,8.0,20.9,15.3,3.3,0.2,20.8,1.0,1.4,116.3,100.6,15.7,350.4,19.1,cluster_8
6096,Reed Sheppard,UK,2024,0.699,.679,188.8,1.6,14.6,8.4,24.1,18.3,4.5,2.5,18.1,3.2,1.6,128.8,100.5,28.3,449.9,24.1,cluster_8
6097,Sim Bhullar,NMSU,2013,0.588,.621,108.6,12.8,18.8,15.9,7.1,12.8,0.3,10.3,20.8,-3.2,1.6,116.5,91.7,24.8,355.9,23.7,cluster_8
6098,Ike Diogu,ASU,2003,0.66,.622,171.8,11.7,17.7,14.8,5.2,16.5,0.4,3.0,25.9,-7.0,1.8,122.0,100.4,21.6,398.4,24.1,cluster_8
6099,Doug McDermott,CREI,2011,0.607,.581,167.6,9.5,20.2,15.2,9.8,15.4,0.6,0.4,27.4,-5.4,1.4,112.5,103.1,9.4,382.5,21.4,cluster_8
6100,Isaiah Austin,BAYL,2013,0.516,.497,142.6,9.7,21.1,15.6,7.7,12.8,0.7,5.4,24.3,-3.6,1.2,104.7,96.1,8.6,367.1,19.1,cluster_8
6101,Lauri Markkanen,ARZ,2017,0.635,.584,175.1,10.0,17.5,14.0,5.6,8.1,0.8,1.8,22.5,-1.7,1.5,134.1,99.1,35.0,443.5,23.5,cluster_8
6102,Chris Taft,PITT,2004,0.561,.559,110.3,15.4,19.6,17.6,11.0,11.2,0.9,7.1,23.0,-1.7,1.4,119.0,87.1,31.9,405.1,25.7,cluster_8
6103,Taj Gibson,USC,2007,0.578,.558,118.0,10.4,19.8,15.4,9.5,21.5,0.9,5.9,21.7,-5.7,1.4,104.3,93.8,10.4,403.4,18.0,cluster_8
6104,Torin Francis,ND,2003,0.558,.502,218.5,11.7,20.7,16.5,6.5,16.3,0.9,5.2,20.0,-4.2,1.5,110.5,95.7,14.7,369.1,18.4,cluster_8
6105,Brandon McCoy,UNLV,2018,0.59,.548,160.3,12.7,25.1,19.4,3.5,15.5,0.9,5.7,27.5,-7.6,1.5,112.4,98.9,13.5,443.1,23.9,cluster_8
6106,Isaiah Stewart II,UWASH,2020,0.629,.577,159.4,10.6,19.4,15.4,6.3,14.1,0.9,6.9,24.5,-5.1,1.6,119.7,92.7,27.1,445.4,27.2,cluster_8
6107,DaRon Holmes II,DAY,2022,0.644,.651,137.8,6.5,17.5,12.3,9.1,11.4,0.9,8.7,19.9,-1.4,1.6,124.3,92.5,31.8,425.8,25.0,cluster_8
6108,Kosta Koufos,OSU,2008,0.551,.533,153.7,11.7,15.8,13.9,4.5,10.2,1.0,7.7,28.4,-4.4,1.2,111.5,94.7,16.8,382.0,24.1,cluster_8
6109,Nick Ward,MCHST,2017,0.605,.592,120.7,17.5,20.3,19.0,5.3,12.6,1.0,8.0,34.1,-7.2,1.6,114.7,95.5,19.1,348.0,29.7,cluster_8
6110,Brandon Knight,UK,2011,0.553,.508,159.5,2.1,10.4,6.4,23.4,16.8,1.1,0.6,27.0,-1.0,1.3,109.5,100.0,9.5,359.6,18.0,cluster_8
6111,Cameron Oliver,UNR,2016,0.555,.532,149.8,9.8,21.8,16.0,6.0,14.7,1.1,9.0,22.9,-5.1,1.3,107.3,92.9,14.5,462.0,20.9,cluster_8
6112,Nick Fazekas,UNR,2004,0.601,.567,165.7,8.8,21.6,15.3,3.6,8.2,1.1,4.6,20.5,-2.3,1.4,126.8,92.8,34.0,381.6,23.1,cluster_8
6113,Jordan Mickey,LSU,2014,0.566,.534,122.9,7.5,18.0,12.8,6.3,16.9,1.1,9.1,19.9,-4.6,1.4,107.3,97.9,9.4,410.9,18.5,cluster_8
6114,Jarrett Allen,TEXAS,2017,0.571,.566,113.0,11.0,18.9,15.0,5.5,17.8,1.1,5.0,22.6,-6.4,1.4,104.8,99.0,5.8,360.6,19.0,cluster_8
6115,Terry Taylor,APSU,2018,0.62,.594,170.3,13.7,18.7,16.0,4.8,12.5,1.1,3.8,22.0,-4.1,1.5,124.5,101.6,22.9,434.1,22.9,cluster_8
6116,Ivan Rabb,Cal,2016,0.636,.616,178.3,11.3,21.3,16.5,6.6,13.4,1.1,4.1,20.0,-3.3,1.6,124.8,94.3,30.5,399.3,22.8,cluster_8
6117,Andrew Bogut,U of U,2004,0.598,.584,158.1,7.5,14.6,11.2,17.4,20.2,1.2,4.8,24.2,-5.6,1.4,111.3,103.9,7.4,426.1,31.7,cluster_8
6118,Ryan Anderson,Cal,2007,0.588,.549,165.6,9.1,21.9,15.5,3.3,9.3,1.2,1.8,25.0,-3.4,1.4,117.9,101.8,16.1,377.9,22.5,cluster_8
6119,Malcolm Thomas,PEPP,2008,0.535,.514,108.8,10.7,22.0,16.1,10.6,19.4,1.2,6.8,21.8,-5.3,1.4,101.5,102.0,-0.5,356.4,18.4,cluster_8
6120,Osun Osunniyi,STBN,2019,0.59,.571,123.7,13.0,19.9,16.5,5.9,12.2,1.2,13.0,14.2,-1.5,1.4,122.9,89.7,33.1,368.1,20.5,cluster_8
6121,Augustine Rubit,USA,2011,0.592,.559,123.5,16.6,24.8,20.7,6.6,17.7,1.2,3.9,21.7,-6.0,1.5,114.2,101.1,13.1,358.9,23.1,cluster_8
6122,Kofi Cockburn,ILL,2020,0.571,.532,120.9,14.2,21.6,18.0,5.0,14.0,1.2,5.3,24.7,-5.5,1.5,114.7,92.3,22.4,350.8,26.1,cluster_8
6123,Derrick Griffin,TEXSO,2016,0.636,.662,118.7,16.7,20.1,18.5,3.5,9.3,1.2,6.5,17.0,-2.1,1.7,132.8,95.8,37.0,432.6,24.5,cluster_8
6124,Bam Adebayo,UK,2017,0.624,.599,125.1,11.2,17.2,14.2,4.7,13.9,1.2,4.9,18.5,-3.5,1.7,123.8,95.0,28.8,451.5,20.5,cluster_8
6125,Luke Babbitt,UNR,2009,0.563,.495,174.9,6.6,18.9,12.8,9.8,11.3,1.3,2.3,26.0,-3.1,1.3,116.0,97.9,18.2,391.8,23.2,cluster_8
6126,Miles Bridges,MCHST,2017,0.58,.563,156.0,5.8,23.2,15.2,14.4,13.9,1.3,4.9,27.4,-3.1,1.3,109.2,96.9,12.3,377.8,22.3,cluster_8
6127,Omari Spellman,VILL,2018,0.588,.573,161.0,9.9,23.0,16.8,4.3,9.8,1.3,5.5,18.3,-1.8,1.3,123.0,95.8,27.3,448.0,19.6,cluster_8
6128,Nick Muszynski,BLMNT,2019,0.638,.616,176.4,5.9,18.6,12.7,20.2,11.9,1.3,8.6,25.3,0.9,1.4,124.5,94.7,29.8,435.0,27.6,cluster_8
6129,Graham Ike,UWYOM,2022,0.557,.513,149.8,10.9,24.1,17.9,10.7,15.7,1.3,1.0,35.2,-7.9,1.4,105.8,93.9,12.0,377.8,25.9,cluster_8
6130,Noah Clowney,UA,2023,0.576,.553,141.8,9.1,22.6,16.3,6.1,13.1,1.3,3.4,18.1,-2.7,1.4,117.0,88.8,28.3,347.1,19.2,cluster_8
6131,Cameron Krutwig,L-IL,2018,0.628,.598,133.3,11.4,20.8,16.6,15.3,15.0,1.3,3.4,23.1,-1.4,1.5,120.9,92.9,28.0,384.1,23.2,cluster_8
6132,Fousseyni Traore,BYU,2022,0.62,.589,145.6,13.5,25.7,19.8,7.6,15.9,1.3,5.7,19.4,-3.6,1.5,120.1,92.1,27.9,364.8,24.8,cluster_8
6133,Zeke Nnaji,ARZ,2020,0.63,.578,162.4,11.5,20.4,16.0,5.8,14.6,1.3,3.3,24.1,-5.3,1.6,120.5,91.3,29.2,406.3,26.1,cluster_8
6134,Tobias Harris,TENN,2011,0.54,.489,151.6,7.6,20.9,14.2,10.4,11.4,1.4,3.4,27.3,-3.3,1.3,112.4,98.1,14.3,357.8,22.1,cluster_8
6135,Henry Ellenson,MARQ,2016,0.534,.480,148.3,7.8,24.1,16.5,11.0,12.9,1.4,4.4,26.7,-3.4,1.3,106.3,97.4,8.9,437.6,20.1,cluster_8
6136,Jose Perez,GWU,2019,0.557,.517,153.4,4.1,16.2,10.7,18.8,12.6,1.4,0.9,26.1,0.1,1.4,112.1,101.6,10.4,367.9,19.6,cluster_8
6137,Johni Broome,MRHD,2021,0.582,.570,118.8,14.7,26.0,20.7,6.6,13.9,1.4,8.4,27.6,-5.9,1.4,112.3,88.0,24.3,376.0,29.6,cluster_8
6138,Brandon Costner,NCST,2007,0.592,.549,157.5,5.8,18.5,12.7,11.0,18.0,1.4,2.1,26.6,-5.6,1.5,107.5,103.7,3.8,384.9,19.5,cluster_8
6139,Daniel Gafford,ARK,2018,0.594,.605,113.3,11.2,20.0,15.7,6.0,9.6,1.4,11.5,23.9,-2.6,1.5,120.3,99.8,20.5,355.4,25.1,cluster_8
6140,Neemias Queta,USU,2019,0.613,.618,157.9,10.8,25.5,18.6,11.9,19.4,1.4,10.4,21.9,-4.5,1.5,111.3,87.9,23.4,442.0,22.6,cluster_8
6141,Trayce Jackson-Davis,IU,2020,0.6,.566,125.0,11.8,21.2,16.5,8.5,10.4,1.4,7.3,21.4,-1.9,1.5,124.3,93.1,31.2,429.8,27.7,cluster_8
6142,Karl-Anthony Towns,UK,2015,0.627,.570,163.0,14.2,22.4,18.6,11.6,14.2,1.4,11.5,23.7,-2.9,1.6,126.8,77.2,49.7,417.0,29.0,cluster_8
6143,A.J. Ogilvy,VANDY,2008,0.641,.588,135.6,9.3,19.8,14.7,10.1,15.9,1.4,5.5,29.3,-6.1,1.7,118.2,98.2,20.0,399.9,26.3,cluster_8
6144,Mike Daum,SDKSU,2016,0.656,.600,182.3,11.7,21.6,16.7,9.5,12.4,1.4,1.7,31.9,-5.4,1.7,129.0,96.7,32.4,355.3,32.5,cluster_8
6145,Tyler Davis,TAMU,2016,0.656,.655,128.0,14.3,15.6,15.0,6.6,15.8,1.4,5.9,21.9,-5.0,1.8,122.8,94.6,28.3,346.3,23.9,cluster_8
6146,Shawn Long,LA,2013,0.498,.467,143.5,10.9,25.7,18.2,7.3,14.3,1.5,6.4,28.7,-5.9,1.1,99.0,95.4,3.7,392.4,21.2,cluster_8
6147,Ryan Daly,DEL,2017,0.517,.494,144.6,7.0,18.6,12.7,15.4,7.3,1.5,0.9,26.1,0.5,1.1,110.6,109.2,1.5,362.5,20.4,cluster_8
6148,Durrell Nevels,UCA,2007,0.544,.511,119.5,11.1,22.2,16.8,5.1,13.3,1.5,13.8,22.4,-4.9,1.3,110.2,89.8,20.4,356.9,24.5,cluster_8
6149,Venky Jois,EWASH,2013,0.538,.490,120.2,7.2,21.5,14.5,13.3,17.7,1.5,6.5,21.2,-3.3,1.3,104.0,101.6,2.4,351.1,19.6,cluster_8
6150,Mohamed Bamba,TEXAS,2018,0.593,.567,149.6,12.2,28.3,20.2,3.6,12.3,1.5,13.2,21.3,-4.1,1.4,118.4,88.3,30.1,465.9,26.5,cluster_8
6151,Craig Smith,BOS,2003,0.626,.606,147.9,12.5,17.8,15.2,9.3,13.1,1.5,2.8,27.4,-4.5,1.5,121.7,104.9,16.8,422.4,26.0,cluster_8
6152,Gregory Echenique,RUTG,2009,0.556,.508,118.0,12.2,20.6,16.5,4.5,15.0,1.5,8.0,16.1,-3.3,1.5,113.1,94.6,18.4,350.5,19.8,cluster_8
6153,Anthony Bennett,UNLV,2013,0.609,.580,160.9,10.3,21.8,16.3,8.8,12.3,1.5,4.6,27.5,-4.3,1.5,117.6,88.5,29.1,444.6,26.7,cluster_8
6154,Jalen Sanders,NOCOL,2018,0.636,.605,159.1,5.6,16.6,11.1,7.1,14.2,1.5,4.3,14.6,-1.4,1.5,123.3,95.7,27.5,356.6,16.9,cluster_8
6155,Obi Toppin,DAY,2019,0.692,.684,190.2,7.7,17.1,12.9,15.6,15.5,1.5,3.7,25.0,-2.7,1.6,123.3,97.0,26.3,379.9,26.1,cluster_8
6156,J.J. Hickson,NCST,2008,0.621,.591,126.8,11.6,22.1,17.3,9.2,18.4,1.5,4.8,26.8,-7.1,1.7,111.8,99.3,12.5,381.4,24.7,cluster_8
6157,Zach Collins,ZAGS,2017,0.703,.676,187.2,12.0,23.3,18.4,4.5,17.8,1.5,9.9,24.9,-7.3,1.9,125.2,79.0,46.2,357.8,29.0,cluster_8
6158,LaDontae Henton,PROV,2012,0.542,.514,155.3,8.3,16.9,12.7,6.6,11.5,1.6,2.9,20.3,-2.7,1.2,112.4,102.9,9.5,375.1,18.7,cluster_8
6159,Kris Humphries,MINN,2004,0.518,.461,152.6,10.0,23.7,16.6,4.8,11.9,1.6,3.6,34.6,-7.0,1.3,105.6,101.8,3.8,376.6,24.3,cluster_8
6160,Jamal Murray,UK,2016,0.59,.559,164.4,4.9,11.1,8.2,12.1,12.1,1.6,0.9,27.2,-2.5,1.3,120.5,101.2,19.2,415.8,21.6,cluster_8
6161,Robert Williams,TAMU,2017,0.569,.560,125.7,13.5,21.1,17.5,12.0,14.3,1.6,10.6,23.6,-3.2,1.3,113.5,94.9,18.6,395.3,25.4,cluster_8
6162,Loudon Love,WRST,2018,0.539,.533,107.4,12.5,28.1,20.2,9.1,16.7,1.6,4.1,25.8,-6.0,1.3,102.3,88.5,13.8,384.3,20.1,cluster_8
6163,Taylor Hendricks,UCF,2023,0.589,.557,165.3,8.5,16.8,12.6,8.6,9.9,1.6,6.1,21.4,-1.5,1.3,122.1,95.6,26.4,436.8,23.0,cluster_8
6164,Malik Monk,UK,2017,0.586,.543,166.9,1.1,7.2,4.2,13.3,10.6,1.6,1.5,27.2,-1.4,1.4,118.3,99.9,18.4,372.3,20.3,cluster_8
6165,Ja Morant,MRRY,2018,0.569,.505,157.1,6.3,15.5,11.2,33.1,18.2,1.6,1.3,20.4,5.2,1.4,122.7,98.0,24.7,438.1,20.1,cluster_8
6166,Alexis Yetna,USOFL,2019,0.598,.585,153.3,11.9,24.6,18.1,7.6,13.7,1.6,2.4,19.0,-3.2,1.4,119.0,92.8,26.2,433.0,20.4,cluster_8
6167,Moses Moody,ARK,2021,0.568,.503,159.7,6.3,11.8,9.1,8.2,9.9,1.6,2.0,22.3,-1.6,1.4,119.8,97.2,22.5,349.8,21.2,cluster_8
6168,Jameel Warney,SB,2013,0.612,.618,117.5,10.5,19.1,15.0,8.1,10.2,1.6,6.6,22.0,-2.1,1.5,122.8,85.5,37.4,386.5,25.9,cluster_8
6169,Randolph Morris,UK,2007,0.621,.592,127.5,9.0,22.7,16.4,9.1,14.4,1.6,8.0,28.1,-5.2,1.6,117.1,92.5,24.6,446.0,27.8,cluster_8
6170,"Jaren Jackson, Jr.",MCHST,2018,0.647,.595,170.6,8.8,19.7,14.9,9.3,17.4,1.6,14.2,23.5,-4.8,1.6,120.7,85.8,34.9,370.4,25.1,cluster_8
6171,"Vernon Carey, Jr.",DUKE,2020,0.615,.588,162.7,12.0,26.2,19.2,8.2,12.3,1.6,5.8,31.0,-5.3,1.6,121.2,87.2,34.0,431.8,34.6,cluster_8
6172,McKinley Wright IV,COLO,2018,0.533,.489,152.6,5.9,10.1,8.1,36.0,18.1,1.7,1.5,25.0,2.2,1.2,109.3,105.6,3.7,358.5,18.8,cluster_8
6173,Devin Ebanks,WVU,2009,0.528,.479,129.5,9.7,20.0,14.7,17.4,16.2,1.7,2.6,19.5,-0.5,1.3,112.6,91.7,20.9,380.3,19.2,cluster_8
6174,Pascal Siakam,NMSU,2015,0.614,.572,133.2,13.5,17.8,15.7,10.0,15.3,1.7,5.9,21.2,-3.4,1.5,122.7,91.3,31.4,417.4,24.2,cluster_8
6175,Chris Bosh,GT,2003,0.633,.596,175.8,11.6,22.3,16.9,7.9,15.8,1.7,6.8,22.4,-4.6,1.6,120.7,93.5,27.2,453.0,24.7,cluster_8
6176,Tony Mitchell,UNT,2012,0.645,.611,174.5,10.1,27.4,19.4,11.6,19.8,1.7,10.4,24.3,-6.0,1.6,115.2,80.1,35.1,358.9,29.1,cluster_8
6177,Andre Drummond,UConn,2012,0.509,.538,83.3,13.9,15.6,14.8,3.4,13.5,1.8,9.9,20.8,-4.6,1.2,103.4,95.8,7.6,354.8,21.1,cluster_8
6178,Aaron Gordon,ARZ,2014,0.503,.516,127.3,10.3,19.3,15.0,13.0,10.5,1.8,3.4,23.2,-0.4,1.2,108.9,87.7,21.2,416.8,19.6,cluster_8
6179,TaShawn Thomas,U of H,2012,0.576,.577,112.0,13.7,19.2,16.6,7.9,14.4,1.8,7.3,19.3,-3.0,1.3,115.4,99.0,16.4,366.1,23.4,cluster_8
6180,MaCio Teague,UNCA,2017,0.613,.565,180.9,1.9,14.3,8.1,15.3,6.9,1.8,0.8,20.4,2.6,1.4,127.2,99.0,28.1,392.3,20.4,cluster_8
6181,Tristan Thompson,TEXAS,2011,0.536,.546,103.3,14.0,13.7,13.8,8.1,12.7,1.8,7.2,22.4,-3.0,1.5,112.3,88.2,24.1,433.9,22.0,cluster_8
6182,Ben McLemore,KU,2013,0.633,.586,178.4,5.0,12.4,9.1,12.6,14.2,1.8,2.3,23.3,-2.3,1.5,121.4,92.3,29.1,416.5,21.9,cluster_8
6183,Glenn Robinson,MICH,2013,0.626,.611,157.2,7.8,11.4,9.7,5.8,8.6,1.8,0.8,15.3,-0.3,1.5,131.8,99.6,32.1,386.6,18.6,cluster_8
6184,Mike Watkins,PENST,2017,0.605,.590,123.3,11.3,26.1,18.6,5.6,14.0,1.8,11.7,19.2,-3.7,1.5,115.8,90.8,25.0,390.8,23.8,cluster_8
6185,Jalen Duren,MEMP,2022,0.608,.597,122.2,14.1,21.3,18.0,10.4,18.6,1.8,9.9,22.9,-5.3,1.5,112.8,90.7,22.1,347.0,25.6,cluster_8
