,Player,Season,MPG,PPG,FGM,FGA,FGPercent,3PM,3PA,3PPercent,FTM,FTA,FTPercent,ORB,DRB,RPG,APG,SPG,BPG,TOV,cluster
6564,Robert Hinton,2025,30,14.6,5.4,11.3,0.477,0.6,1.7,0.356,3.2,4.2,0.763,1,3.1,4.1,1.8,1.3,0,1.4,cluster_8
6565,Jeremiah Fears,2025,29.7,16.4,5.2,11.6,0.444,1,3.6,0.275,5,5.9,0.848,0.8,3.4,4.1,4.2,1.6,0.1,3.5,cluster_8
6566,V.J. Edgecombe,2025,32.2,14.7,5,11.4,0.439,1.6,4.6,0.359,3.1,4,0.768,1.9,3.5,5.4,3.3,2.1,0.6,2,cluster_8
6567,Kasparas Jakucionis,2025,31.8,15.2,4.7,10.3,0.455,1.7,5.1,0.331,4.1,4.9,0.832,1.2,4.3,5.6,4.8,0.9,0.3,3.4,cluster_8
6568,Will Sydnor,2025,29.6,14.3,5.4,11.8,0.456,1.7,4.8,0.353,1.8,2.9,0.624,1.5,5.2,6.8,1.6,0.7,1.1,1.8,cluster_8
6569,Gabriel Pozzato,2025,34.8,14.9,5.3,11.8,0.447,1.8,5.8,0.317,2.6,3.7,0.705,0.8,3.6,4.4,1.3,1.3,0.4,2,cluster_8
6570,Liam McNeeley,2025,31.9,14.7,4.3,11,0.395,1.8,5.3,0.347,4.1,4.8,0.864,1,5.1,6.2,2.5,0.5,0.3,2,cluster_8
6571,Jeremiah Wilkinson,2025,26.9,15.4,5,12.2,0.41,1.9,5.7,0.326,3.5,4.5,0.786,0.5,1.5,2,1.5,0.8,0.1,1.6,cluster_8
6572,Boogie Fland,2025,34,15.1,5.1,13.1,0.391,1.9,5.3,0.365,2.9,3.4,0.839,0.5,2.9,3.4,5.7,1.5,0.1,1.6,cluster_8
6573,Joe Sayler,2025,30,12.7,4.4,11.2,0.393,1.9,5.6,0.335,2.1,2.4,0.861,0.2,2.4,2.6,1.9,0.6,0,1.9,cluster_8
6574,All Wright,2025,29.4,15.5,5.4,13.1,0.408,2,5.1,0.383,2.8,3.5,0.805,0.5,1.7,2.2,2.4,0.9,0.2,1.4,cluster_8
6575,Kon Knueppel,2025,29.8,13.7,4.5,9.7,0.47,2.2,5.6,0.399,2.4,2.6,0.914,1.1,2.8,3.8,2.5,0.9,0.2,1.3,cluster_8
6576,Max Green,2025,34.3,14.9,5.2,12.3,0.419,2.3,5.9,0.38,2.3,3.3,0.699,1,4.6,5.6,3.5,0.9,0.3,2.7,cluster_8
